"No.","True Crime Topic","Episode Description"
"1","The Zodiac Killer","Examine the coded letters, confirmed attacks, disputed victims, and suspects behind California’s unidentified Zodiac Killer."
"2","The Golden State Killer","Trace the decades-long investigation that connected burglaries, sexual assaults, and murders through genetic genealogy."
"3","BTK: Dennis Rader","Explore how Dennis Rader concealed his crimes for decades before his communications with police exposed him."
"4","The Green River Killer","Follow the investigation into Gary Ridgway and the many women whose disappearances were initially overlooked."
"5","The Manson Family Murders","Reconstruct the Tate–LaBianca murders, Charles Manson’s influence, and the prosecution that followed."
"6","JonBenét Ramsey","Review the ransom note, conflicting evidence, media frenzy, and unresolved killing of six-year-old JonBenét Ramsey."
"7","The Murder of Laci Peterson","Trace Laci Peterson’s disappearance, the discovery of her remains, and the circumstantial case against Scott Peterson."
"8","Hae Min Lee and the Adnan Syed Case","Examine Hae Min Lee’s murder, Adnan Syed’s prosecution, and the legal disputes that followed his conviction."
"9","The Disappearance of Susan Powell","Follow Susan Powell’s disappearance and the escalating events surrounding her husband, Josh Powell."
"10","Jennifer Kesse","Reconstruct Jennifer Kesse’s final known movements and the unidentified person recorded near her abandoned vehicle."
"11","Madeleine McCann","Examine the disappearance from a Portuguese resort, investigative failures, international suspects, and enduring unanswered questions."
"12","Natalee Holloway","Trace Natalee Holloway’s final night in Aruba and the years of investigations, statements, and legal developments."
"13","Andrew Gosden","Explore why a 14-year-old secretly traveled to London and seemingly vanished after leaving King’s Cross station."
"14","Sneha Anne Philip","Reconstruct the final confirmed day of a New York physician whose disappearance became entwined with September 11."
"15","Amy Lynn Bradley","Examine the disappearance of Amy Bradley from a Caribbean cruise ship and the reported sightings that followed."
"16","Jodi Huisentruit","Follow the disappearance of an Iowa television anchor from outside her apartment before an early-morning broadcast."
"17","Kristin Smart","Trace Kristin Smart’s disappearance, the decades-long investigation, and the eventual prosecution of Paul Flores."
"18","Gabby Petito","Reconstruct the cross-country trip, social-media trail, police encounter, disappearance, and nationwide search for Gabby Petito."
"19","Tara Calico","Examine Tara Calico’s disappearance and the disturbing Polaroid photograph once thought to depict her."
